exam,exam_url,q_number,question,option_a,option_b,option_c,option_d,correct_answer,num_correct_answers,area,theme,difficulty_1_10,explanation
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,1,What are two responsibilities that you will have as a British citizen or permanent resident of the UK?,To look after the area in which you live and the environment,To look after yourself and your family,To stay in the UK forever,To promote work in your local community,To look after the area in which you live and the environment | To look after yourself and your family,2,Values & Citizenship,Rights & responsibilities of citizens,4,"If you wish to be a permanent resident or citizen of the UK, you should: look after yourself and your family, look after the area in which you live and the environment , respect and obey the law, respect the rights of others, including their right to their own opinions and treat others with fairness."
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,2,Where is Big Ben located?,Buckingham Palace,The Tower of London,Trafalgar Square,The Houses of the Parliament,The Houses of the Parliament,1,Geography,Landmarks & famous places,2,Big Ben is the nickname for the great bell of the clock at the Houses of Parliament in London .
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,3,When were men and women given the right to vote at the age of 21?,1918,1903,1928,1923,1928,1,History,Suffrage & women's rights (Suffragettes),8,"In 1928 , women were given the right to vote at the age of 21, the same as men."
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,4,Where is the UK geographically located?,South west of Europe,North east of Europe,North west of Europe,South east of Europe,North west of Europe,1,Geography,"Nations, capitals & geography of the UK",3,The UK is located in the north west of Europe .
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,5,Who is the patron Saint of Scotland?,St David,St Patrick,St George,St Andrew,St Andrew,1,Culture & Society,Religion & patron saints,4,The patron Saint of Scotland is St Andrew .
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,6,Which two houses fought in the Wars of the Roses?,The House of Chester,The House of York,The House of Lancaster,The House of Newcastle,The House of York | The House of Lancaster,2,History,Wars of the Roses,5,The Wars of the Roses were fought between the supporters of two families: the House of Lancaster and the House of York .
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,7,The Bill of Rights of 1689 confirmed the right to vote for all adult men.,True,False,,,False,1,History,Glorious Revolution & Bill of Rights,7,"False . The Bill of Rights, 1689, confirmed the rights of Parliament and the limits of the king’s power."
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,8,What is the Cenotaph?,A flower,A Christian church,A war memorial,A theatre,A war memorial,1,Culture & Society,Architecture & famous buildings,5,"The Cenotaph is a war memorial and it is the site of the annual Remembrance Day service attended by the King, politicians and foreign ambassadors."
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,9,Who was the first female Prime Minister of the UK?,Mary Stuart,Theresa May,Margaret Thatcher,Florence Nightingale,Margaret Thatcher,1,Government & Politics,Prime Ministers & political leaders,2,Margaret Thatcher was the first woman Prime Minister of the UK.
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,10,Who chairs the debates at the House of Commons?,A bishop,The Prime Minister,The Speaker,The archbishop of Canterbury,The Speaker,1,Government & Politics,Parliament & how government works,4,Debates in the House of Commons are chaired by the Speaker .
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,11,Who was the captain of the English football team that won the World Cup in 1966?,Sir Roger Bannister,Sir Jackie Stewart,Sir Ian Botham,Bobby Moore,Bobby Moore,1,Sport,Sport & sporting events,6,Bobby Moore captained the English football team that won the World Cup in 1966.
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,12,When did the English defeat the Spanish Armada?,1466,1066,1254,1588,1588,1,History,Tudors & the Reformation,7,In 1588 the English defeated the Spanish Armada.
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,13,Anyone can make a complaint about the police by writing to the Chief Constable of the police force involved.,True,False,,,True,1,Law & Justice,"Police, crime & punishment",6,This statement is TRUE .
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,14,What is the minimum age required to serve on a jury?,16,18,21,25,18,1,Law & Justice,The legal system & courts,5,Anyone who is on the electoral register and is aged 18 to 70 can be asked to serve on a jury.
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,15,How is a jury selected?,From the NHS registration system,Randomly from the electoral register,Alphabetically from the telephone directory,From a postcode selection,Randomly from the electoral register,1,Law & Justice,The legal system & courts,5,"As well as getting the right to vote, people on the electoral register are randomly selected to serve on a jury. Anyone who is on the electoral register and is aged 18 to 70 can be asked to do this."
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,16,What is a bank holiday?,A public holiday when banks are open all day,A public holiday for people working in banks,An additional day off that every worker in the UK is entitled to,A public holiday when banks and many other businesses are closed for the day,A public holiday when banks and many other businesses are closed for the day,1,Culture & Society,"Festivals, holidays & traditions",3,"There are public holidays each year called bank holidays, when banks and many other businesses are closed for the day ."
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,17,What will you be given to vote before a general election takes place?,A ballot slip,A poll card,A voting slip,A poll tax relief,A poll card,1,Government & Politics,Elections & voting,6,Before the election you will be sent a poll card .
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,18,Which of the following statements is correct?,Solicitors’ charges are usually based on how much time they spend on a case,Solicitors’ charges are usually based on the nature of a case and its importance,,,Solicitors’ charges are usually based on how much time they spend on a case,1,Law & Justice,The legal system & courts,7,Solicitors’ charges are usually based on how much time they spend of a case.
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,19,"By law, which TWO types of media have to give a balanced coverage of all political parties and equal time to rival viewpoints before an election?",Television,Internet,Newspapers,Radio,Television | Radio,2,Government & Politics,Elections & voting,6,"By law, radio and television coverage of the political parties must be balanced and so equal time has to be given to rival viewpoints."
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,20,Which of the following territories is a Crown dependency but is NOT part of the UK?,Northern Ireland,Wales,The Channel Islands,Scotland,The Channel Islands,1,Geography,"Nations, capitals & geography of the UK",5,"The Channel Islands is a British overseas territory linked to the UK, but it is not part of it."
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,21,What did Sir Frank Whittle invent in the 1930s?,Radar,Hovercraft,Jet engine,Ballpoint pen,Jet engine,1,History,Industrial Revolution & invention,6,The jet engine was developed in Britain in the 1930s by Sir Frank Whittle .
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,22,Who wrote ‘The Daffodils’?,William Blake,Robert Browning,Lord Byron,William Wordsworth,William Wordsworth,1,Culture & Society,Literature & writers,6,The British poet William Wordsworth wrote ‘The Daffodils’.
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,23,Who was given the title of Lord Protector?,Charles I,Charles II,Winston Churchill,Oliver Cromwell,Oliver Cromwell,1,History,"Stuarts, Civil War & Restoration",6,Oliver Cromwell was given the title of Lord Protector and ruled until his death in 1658.
1,https://lifeintheuktestweb.co.uk/british-citizenship-test-1/,24,What are the 40 days before Easter called?,Diwali,Lent,Hannukah,Vaisakhi,Lent,1,Culture & Society,"Festivals, holidays & traditions",4,The 40 days before Easter are known as Lent .
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,1,What is the Home Secretary responsible for?,Health,Defence,Education,Policing,Policing,1,Government & Politics,Parliament & how government works,5,"The Home Secretary is responsible for crime, policing and immigration ."
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,2,St Helena is a British overseas territory and it is part of the United Kingdom.,True,False,,,False,1,Geography,"Nations, capitals & geography of the UK",6,"British overseas territories, such as St Helena and the Falkland Islands are linked to the UK but are not part of it ."
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,3,Several Church of England bishops sit in the House of Lords.,True,False,,,True,1,Government & Politics,Parliament & how government works,6,This statement is true .
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,4,"When walking your dog in a public place, you must ensure:",That your dog does not play with other dogs,That your dog wears a collar showing the name and address of the owner,That your dog wears a high visibility jacket,That your dog does not bark,That your dog wears a collar showing the name and address of the owner,1,Culture & Society,"Food, leisure & everyday life",6,All dogs in public places must wear a collar showing the name and address of the owner .
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,5,Women over the age of 30 were given the right to vote as a result of their contribution towards the war effort. Which war was that?,The Second World War,The Crimean War,The First World War,The Civil War,The First World War,1,History,Suffrage & women's rights (Suffragettes),6,"In 1918, women over the age of 30 were given voting rights and the right to stand for Parliament, partly in recognition of the contribution women made to the war effort during the First World War ."
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,6,When did Ireland become a republic?,1925,1939,1949,1927,1949,1,History,20th-century & post-war Britain,8,Ireland became a republic in 1949 .
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,7,Where did the first farmers come from?,South-west Europe,South-east Europe,North-east America,North-west Asia,South-east Europe,1,History,"Ancient, Roman & early Britain",9,"The first farmers arrived in Britain 6,000 years ago. The ancestors of these first farmers probably came from south-east Europe ."
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,8,Who was an important contributor to the ‘pop art’ movement of the 1960’s?,David Hockney,Lucian Freud,John Petts,Henry Moore,David Hockney,1,Culture & Society,"Music, art & the performing arts",7,David Hockney was an important contributor to the ‘pop art’ movement of the 1960s and continues to be influential today.
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,9,Who became Prime Minister and was an inspirational leader to the British people during WWII?,Winston Churchill,Clement Attlee,Margaret Thatcher,Sir Robert Walpole,Winston Churchill,1,Government & Politics,Prime Ministers & political leaders,2,Winston Churchill .
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,10,Who led the first invasion of Britain?,Emperor Hadrian,Julius Caesar,Canute,"William, the Duke of Normandy",Julius Caesar,1,History,"Ancient, Roman & early Britain",6,"Julius Caesar led a Roman invasion of Britain in 55 BC. This was unsuccessful and for nearly 100 years Britain remained separate from the Roman Empire. In AD 43 the Emperor Claudius led the Roman army in a new invasion. This time, there was resistance from some of the British tribes but the Romans were successful in occupying almost all of Britain."
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,11,Under which king did the Anglo-Saxon kingdoms in England unite to defeat the Vikings?,William of Orange,King Alfred the Great,Henry VIII,Robert the Bruce,King Alfred the Great,1,History,Anglo-Saxons & Vikings,7,"The Anglo-Saxon kingdoms in England united under King Alfred the Great , who defeated the Vikings."
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,12,When was the Magna Carta created?,1514,1215,1415,1314,1215,1,History,Magna Carta & early rights,6,The Magna Carta was created in 1215 .
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,13,"Northern Ireland has its own banknotes, which are valid everywhere in the UK.",True,False,,,True,1,Culture & Society,"Money, work, tax & public services",6,This statement is true .
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,14,Which of the following plays was written by William Shakespeare?,Pride and Prejudice,A Midsummer Night’s dream,Sense and Sensibility,Great Expectations,A Midsummer Night’s dream,1,Culture & Society,Literature & writers,4,William Shakespeare’s most famous plays include A Midsummer Night’s dream .
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,15,"How many members does a jury have in England, Wales and Northern Ireland?",9,12,15,20,12,1,Law & Justice,The legal system & courts,5,"In England, Wales and Northern Ireland a jury has 12 members ."
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,16,Which two of the following religious communities celebrate Diwali?,Buddhists,Hindus,Jews,Sikhs,Hindus | Sikhs,2,Culture & Society,"Festivals, holidays & traditions",6,Diwali is celebrated by Hindus and Sikhs .
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,17,What is Good Friday?,The day when Jesus Christ rose from the dead,The day when Jesus Christ was born,The day when Jesus Christ died,The day when Jesus Christ became 30 years old,The day when Jesus Christ died,1,Culture & Society,"Festivals, holidays & traditions",4,Good Friday marks the death of Jesus Christ during the Easter.
2,https://lifeintheuktestweb.co.uk/british-citizenship-test-2/,18,St Patrick’s day is a public holiday in Northern Ireland.,True,False,,,True,1,Culture & Society,"Festivals, holidays & traditions",5,True . Only Scotland and Northern Ireland have their patron saint’s day as an official holiday (although in Scotland not all businesses and offices will close).
